incident_id,date,severity,service,root_cause,mttr_minutes,customer_impact,environment,resolution,escalation_path,business_impact_summary,postmortem_summary,time_to_resolution_minutes,symptoms
INC-2025-001,2025-01-08,P1,auth-api,Bad config rollout disabled session cookie,47,100% of users unable to log in for 47 min,prod,Rolled back config and re-enabled session cookie,NOC → Platform SRE → Service owner → Incident commander → Exec comms,100% of users unable to log in for 47 min,Root cause: Bad config rollout disabled session cookie. Resolution: Rolled back config and re-enabled session cookie. TTR 47 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,47,auth-api degradation in prod
INC-2025-002,2025-01-19,P2,payment-svc,Primary PSP timeout spike,31,12% of charges retried via backup PSP,prod,Failed over to backup PSP and raised PSP timeout,NOC → Platform SRE → Service owner,12% of charges retried via backup PSP,Root cause: Primary PSP timeout spike. Resolution: Failed over to backup PSP and raised PSP timeout. TTR 31 min. Escalation: NOC → Platform SRE → Service owner.,31,payment-svc degradation in prod
INC-2025-003,2025-02-02,P3,api-gateway,Single Lambda integration timeout,18,One customer endpoint slow,prod,Increased integration timeout and added retry,NOC → Service owner (next business day review),One customer endpoint slow,Root cause: Single Lambda integration timeout. Resolution: Increased integration timeout and added retry. TTR 18 min. Escalation: NOC → Service owner (next business day review).,18,api-gateway degradation in prod
INC-2025-004,2025-02-14,P1,postgres-primary,Disk full from runaway audit log,62,All writes failing for 62 min,prod,Truncated audit log and added disk alarm,NOC → Platform SRE → Service owner → Incident commander → Exec comms,All writes failing for 62 min,Root cause: Disk full from runaway audit log. Resolution: Truncated audit log and added disk alarm. TTR 62 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,62,postgres-primary degradation in prod
INC-2025-005,2025-02-28,P2,auth-api,MFA SMS provider degraded,25,MFA delivery delayed up to 5 min,prod,Switched MFA SMS provider,NOC → Platform SRE → Service owner,MFA delivery delayed up to 5 min,Root cause: MFA SMS provider degraded. Resolution: Switched MFA SMS provider. TTR 25 min. Escalation: NOC → Platform SRE → Service owner.,25,auth-api degradation in prod
INC-2025-006,2025-03-10,P3,monitoring,Prometheus OOM killed,12,Alerts delayed but not lost,prod,Raised Prometheus memory limit,NOC → Service owner (next business day review),Alerts delayed but not lost,Root cause: Prometheus OOM killed. Resolution: Raised Prometheus memory limit. TTR 12 min. Escalation: NOC → Service owner (next business day review).,12,monitoring degradation in prod
INC-2025-007,2025-03-22,P1,payment-svc,Duplicate charge bug from custom retry loop,95,0.4% of customers double-charged,prod,Disabled custom retry loop and refunded duplicates,NOC → Platform SRE → Service owner → Incident commander → Exec comms,0.4% of customers double-charged,Root cause: Duplicate charge bug from custom retry loop. Resolution: Disabled custom retry loop and refunded duplicates. TTR 95 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,95,payment-svc degradation in prod
INC-2025-008,2025-04-03,P2,redis-cache,Eviction storm under load,28,Sessions expiring early,prod,Tuned maxmemory-policy and scaled cache,NOC → Platform SRE → Service owner,Sessions expiring early,Root cause: Eviction storm under load. Resolution: Tuned maxmemory-policy and scaled cache. TTR 28 min. Escalation: NOC → Platform SRE → Service owner.,28,redis-cache degradation in prod
INC-2025-009,2025-04-15,P3,api-gateway,Throttle limit reached for one client,9,One enterprise client rate-limited,prod,Raised client throttle limit,NOC → Service owner (next business day review),One enterprise client rate-limited,Root cause: Throttle limit reached for one client. Resolution: Raised client throttle limit. TTR 9 min. Escalation: NOC → Service owner (next business day review).,9,api-gateway degradation in prod
INC-2025-010,2025-04-29,P1,auth-api,OIDC discovery endpoint cached stale keys,73,All OAuth logins failing,prod,Cleared JWKS cache and forced key refresh,NOC → Platform SRE → Service owner → Incident commander → Exec comms,All OAuth logins failing,Root cause: OIDC discovery endpoint cached stale keys. Resolution: Cleared JWKS cache and forced key refresh. TTR 73 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,73,auth-api degradation in prod
INC-2025-011,2025-05-12,P2,postgres-replica,Replica fell 8 min behind,22,Read-after-write inconsistencies,prod,Reduced primary write load and replica caught up,NOC → Platform SRE → Service owner,Read-after-write inconsistencies,Root cause: Replica fell 8 min behind. Resolution: Reduced primary write load and replica caught up. TTR 22 min. Escalation: NOC → Platform SRE → Service owner.,22,postgres-replica degradation in prod
INC-2025-012,2025-05-25,P3,deploy-pipeline,CI flakiness blocked release,41,"Deploy delayed, no customer impact",prod,Stabilized flaky test and re-ran pipeline,NOC → Service owner (next business day review),"Deploy delayed, no customer impact",Root cause: CI flakiness blocked release. Resolution: Stabilized flaky test and re-ran pipeline. TTR 41 min. Escalation: NOC → Service owner (next business day review).,41,deploy-pipeline degradation in prod
INC-2025-013,2025-06-07,P1,api-gateway,Custom domain cert expired,18,All public APIs unreachable,prod,Renewed custom domain certificate,NOC → Platform SRE → Service owner → Incident commander → Exec comms,All public APIs unreachable,Root cause: Custom domain cert expired. Resolution: Renewed custom domain certificate. TTR 18 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,18,api-gateway degradation in prod
INC-2025-014,2025-06-20,P2,auth-api,Token signing key rotation race,33,5% of new sessions rejected,prod,Serialized key rotation and re-issued tokens,NOC → Platform SRE → Service owner,5% of new sessions rejected,Root cause: Token signing key rotation race. Resolution: Serialized key rotation and re-issued tokens. TTR 33 min. Escalation: NOC → Platform SRE → Service owner.,33,auth-api degradation in prod
INC-2025-015,2025-07-04,P3,monitoring,Grafana datasource auth expired,7,"Dashboards blank, no real impact",prod,Refreshed datasource credentials,NOC → Service owner (next business day review),"Dashboards blank, no real impact",Root cause: Grafana datasource auth expired. Resolution: Refreshed datasource credentials. TTR 7 min. Escalation: NOC → Service owner (next business day review).,7,monitoring degradation in prod
INC-2025-016,2025-07-17,P1,payment-svc,"PSP webhook signing key leaked, rotated emergency",56,Webhook ingestion stopped for 56 min,prod,Rotated signing key and re-secured webhook,NOC → Platform SRE → Service owner → Incident commander → Exec comms,Webhook ingestion stopped for 56 min,"Root cause: PSP webhook signing key leaked, rotated emergency. Resolution: Rotated signing key and re-secured webhook. TTR 56 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.",56,payment-svc degradation in prod
INC-2025-017,2025-07-30,P2,auth-api,Pod CrashLoop from OOM after JDK upgrade,24,Login error rate 8%,prod,Reverted JDK upgrade and raised heap,NOC → Platform SRE → Service owner,Login error rate 8%,Root cause: Pod CrashLoop from OOM after JDK upgrade. Resolution: Reverted JDK upgrade and raised heap. TTR 24 min. Escalation: NOC → Platform SRE → Service owner.,24,auth-api degradation in prod
INC-2025-018,2025-08-11,P3,api-gateway,WAF false-positive blocked one customer,14,Single customer 403s,prod,Moved WAF rule to count mode for the client,NOC → Service owner (next business day review),Single customer 403s,Root cause: WAF false-positive blocked one customer. Resolution: Moved WAF rule to count mode for the client. TTR 14 min. Escalation: NOC → Service owner (next business day review).,14,api-gateway degradation in prod
INC-2025-019,2025-08-24,P1,postgres-primary,Connection pool exhausted from leaking app,41,All writes failing intermittently,prod,Killed idle-in-transaction sessions and fixed leak via rollback,NOC → Platform SRE → Service owner → Incident commander → Exec comms,All writes failing intermittently,Root cause: Connection pool exhausted from leaking app. Resolution: Killed idle-in-transaction sessions and fixed leak via rollback. TTR 41 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,41,postgres-primary degradation in prod
INC-2025-020,2025-09-06,P2,payment-svc,Currency rate cache stale,36,Wrong currency conversion on 0.2% of orders,prod,Invalidated currency rate cache,NOC → Platform SRE → Service owner,Wrong currency conversion on 0.2% of orders,Root cause: Currency rate cache stale. Resolution: Invalidated currency rate cache. TTR 36 min. Escalation: NOC → Platform SRE → Service owner.,36,payment-svc degradation in prod
INC-2025-021,2025-09-19,P3,auth-api,MFA email provider rate-limited,11,Email MFA delayed,prod,Raised email provider rate limit,NOC → Service owner (next business day review),Email MFA delayed,Root cause: MFA email provider rate-limited. Resolution: Raised email provider rate limit. TTR 11 min. Escalation: NOC → Service owner (next business day review).,11,auth-api degradation in prod
INC-2025-022,2025-10-02,P1,redis-cache,"Master node OOM, failover incomplete",39,Sessions invalidated,prod,Completed failover and warmed cache,NOC → Platform SRE → Service owner → Incident commander → Exec comms,Sessions invalidated,"Root cause: Master node OOM, failover incomplete. Resolution: Completed failover and warmed cache. TTR 39 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.",39,redis-cache degradation in prod
INC-2025-023,2025-10-15,P2,api-gateway,Stage variable typo broke routing,19,Beta endpoint 5xx,prod,Corrected stage variable and redeployed,NOC → Platform SRE → Service owner,Beta endpoint 5xx,Root cause: Stage variable typo broke routing. Resolution: Corrected stage variable and redeployed. TTR 19 min. Escalation: NOC → Platform SRE → Service owner.,19,api-gateway degradation in prod
INC-2025-024,2025-10-28,P3,monitoring,Alert silence forgotten 6 hours,360,"No customer impact, missed minor alerts",prod,Removed stale silence and added expiry policy,NOC → Service owner (next business day review),"No customer impact, missed minor alerts",Root cause: Alert silence forgotten 6 hours. Resolution: Removed stale silence and added expiry policy. TTR 360 min. Escalation: NOC → Service owner (next business day review).,360,monitoring degradation in prod
INC-2025-025,2025-11-10,P1,auth-api,Bad migration locked users table 4 min,16,"All writes blocked, reads OK",prod,Completed migration and released lock,NOC → Platform SRE → Service owner → Incident commander → Exec comms,"All writes blocked, reads OK",Root cause: Bad migration locked users table 4 min. Resolution: Completed migration and released lock. TTR 16 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,16,auth-api degradation in prod
INC-2025-026,2025-11-23,P2,payment-svc,Webhook backlog after PSP recovery,47,Order confirmation delayed up to 30 min,prod,Drained backlog with idempotency keys,NOC → Platform SRE → Service owner,Order confirmation delayed up to 30 min,Root cause: Webhook backlog after PSP recovery. Resolution: Drained backlog with idempotency keys. TTR 47 min. Escalation: NOC → Platform SRE → Service owner.,47,payment-svc degradation in prod
INC-2025-027,2025-12-06,P3,deploy-pipeline,Docker registry quota hit,28,"No customer impact, deploys blocked",prod,Pruned images and raised registry quota,NOC → Service owner (next business day review),"No customer impact, deploys blocked",Root cause: Docker registry quota hit. Resolution: Pruned images and raised registry quota. TTR 28 min. Escalation: NOC → Service owner (next business day review).,28,deploy-pipeline degradation in prod
INC-2025-028,2025-12-19,P1,api-gateway,"DDoS, WAF rate limits insufficient",88,30% of public traffic dropped,prod,Tightened WAF rate limits and enabled shield,NOC → Platform SRE → Service owner → Incident commander → Exec comms,30% of public traffic dropped,"Root cause: DDoS, WAF rate limits insufficient. Resolution: Tightened WAF rate limits and enabled shield. TTR 88 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.",88,api-gateway degradation in prod
INC-2025-029,2026-01-01,P2,auth-api,New year leap-second clock skew,21,Some tokens marked invalid,prod,Synced clocks and re-validated tokens,NOC → Platform SRE → Service owner,Some tokens marked invalid,Root cause: New year leap-second clock skew. Resolution: Synced clocks and re-validated tokens. TTR 21 min. Escalation: NOC → Platform SRE → Service owner.,21,auth-api degradation in prod
INC-2025-030,2026-01-14,P3,monitoring,Prometheus disk near full,17,No customer impact,prod,Expanded Prometheus disk,NOC → Service owner (next business day review),No customer impact,Root cause: Prometheus disk near full. Resolution: Expanded Prometheus disk. TTR 17 min. Escalation: NOC → Service owner (next business day review).,17,monitoring degradation in prod
INC-2026-NJ-001,2026-05-18,P2,postgres,Long-running analytics query saturated CPU on nj-db-primary-01,38,Settlement batch delays up to 12 min in NJ-DGE,NJ-DGE,Cancelled the long analytics query and added a covering index,NOC → Platform SRE → Service owner,Settlement batch delays up to 12 min in NJ-DGE,Root cause: Long-running analytics query saturated CPU on nj-db-primary-01. Resolution: Cancelled the long analytics query and added a covering index. TTR 38 min. Escalation: NOC → Platform SRE → Service owner.,38,postgres degradation in NJ-DGE
INC-2026-NJ-002,2026-05-22,P2,postgres,Replica lag 45s after primary CPU spike,29,Read-after-write issues on reporting,NJ-DGE,Reduced primary load and replica caught up,NOC → Platform SRE → Service owner,Read-after-write issues on reporting,Root cause: Replica lag 45s after primary CPU spike. Resolution: Reduced primary load and replica caught up. TTR 29 min. Escalation: NOC → Platform SRE → Service owner.,29,postgres degradation in NJ-DGE
INC-2026-NJ-003,2026-06-01,P2,postgres,Connection pool exhausted on checkout-api after deploy,52,Checkout timeouts 8% for 45 min NJ-DGE,NJ-DGE,Rolled back the deploy and cleared idle-in-transaction sessions,NOC → Platform SRE → Service owner,Checkout timeouts 8% for 45 min NJ-DGE,Root cause: Connection pool exhausted on checkout-api after deploy. Resolution: Rolled back the deploy and cleared idle-in-transaction sessions. TTR 52 min. Escalation: NOC → Platform SRE → Service owner.,52,postgres degradation in NJ-DGE
INC-2026-GIB-001,2026-01-22,P1,bet-service,DB connection exhaustion after dependency timeout caused bet-service nodes unresponsive,12,100% bet placement error rate on GIB-UKGC for 12 min,GIB-UKGC,Restarted service and added connection pool circuit breaker,NOC → Platform SRE → Service owner → Incident commander → Exec comms,100% bet placement error rate on GIB-UKGC for 12 min,Root cause: DB connection exhaustion after dependency timeout caused bet-service nodes unresponsive. Resolution: Restarted service and added connection pool circuit breaker. TTR 12 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,12,bet-service degradation in GIB-UKGC
INC-2026-GIB-002,2026-05-12,P2,bet-service,Failed deploy caused 5xx spike on bet-service,15,5xx rate above 10% immediately after deploy,GIB-UKGC,Rolled back to previous version and redeployed with schema migration fix,NOC → Platform SRE → Service owner,5xx rate above 10% immediately after deploy,Root cause: Failed deploy caused 5xx spike on bet-service. Resolution: Rolled back to previous version and redeployed with schema migration fix. TTR 15 min. Escalation: NOC → Platform SRE → Service owner.,15,bet-service degradation in GIB-UKGC
